제목,작가,평점,장르,관심(알림설정) 수
비서 일탈,솔방울 / 꿀봉이 / 반지영,9.97,"['로맨스', '고자극로맨스', '2030연애', '직진남', '오피스로맨스', '소설원작']","104,690"
꽃만 키우는데 너무강함,주현후 / 쿰타타,9.97,"['판타지', '게임판타지', '먼치킨', '소설원작']","188,644"
순수한 동거생활,성은 / 플아다,9.93,"['로맨스', '현실로맨스', '오피스로맨스', '연상연하', '사내연애', '소설원작']","163,530"
흑막 여주가 날 새엄마로 만들려고 해,이산시 / 하리힌 / 목감기,9.97,"['로맨스', '육아물', '빙의', '로판', '소설원작']","265,194"
던전 씹어먹는 아티팩트,엄키 / 제로워터,9.91,"['판타지', '복수극', '먼치킨', '소설원작']","178,004"
게임 최강 트롤러,박종석 / YATO / 군만두먹자,9.87,"['판타지', '소설원작']","90,813"
마법사랑해,명랑 / 청설모,9.97,"['판타지', '차원이동', '판무']","59,313"
네가 죽기를 바랄 때가 있었다,기매 / 아란 / 진서,9.94,"['로맨스', '후회물', '혐관로맨스', '로판', '구원서사', '소설원작']","198,746"
완벽한 결혼의 정석,영 / 제리볼 / 이범배,9.85,"['로맨스', '혐관로맨스', '계약연애', '회귀', '선결혼후연애', '소설원작']","264,063"
트롤트랩,유비,9.92,"['판타지', '소년왕도물']","169,359"
마왕까지 한 걸음,윤홍,9.97,"['판타지', '힘숨찐']","148,382"
돈내놔,은류 / 도늑,6.75,"['액션', '서바이벌', '사이다', '게임판타지', '두뇌싸움', '먼치킨', '머니게임']","6,118"
아인슈페너,한끼룩,9.94,"['스릴러', '집착물']","70,631"
베니루 BAENIRU,우지금,9.89,"['스릴러', '서스펜스']","59,827"
썩은 핑크의 법칙,힙합신선,9.96,"['드라마', '2022', '동아리', '캠퍼스로맨스']","53,380"
만능잡캐,"홍실, 키보드만세 / 김대훈",9.86,"['판타지', '고인물', '아포칼립스', '게임판타지', '먼치킨']","112,080"
내향남녀,나,9.9,['로맨스'],"38,449"
이상한 변호사 우영우,"원프로젝트 / 화음조, 이예지",6.85,"['드라마', '햇살캐', '법정드라마', '드라마', '힐링', '직업드라마', '성장드라마']","127,688"
당신의 그림자를 그만두었을 때,봉이 / 유성 / Rana,9.96,"['로맨스', '소설원작']","41,836"
해시의 신루,명랑 / INUS / 윤이수,9.97,"['로맨스', '햇살캐', '다정남', '궁중로맨스', '퓨전사극', '소설원작']","111,286"
이게 웬 떡,박쓰담,9.92,['로맨스'],"91,301"
위대한 겸상,홍치,9.84,"['로맨스', '음식']","115,790"
방과후 레시피,혜루,9.98,"['로맨스', '힐링', '학원로맨스', '청춘로맨스', '음식', '감성드라마']","97,763"
3X3!,만능유자차,9.88,"['드라마', '무해한', '힐링', '4차원', '학원물', '하이틴', '성장드라마', '레트로']","14,059"
그 악룡은 무엇을 위해 사는가,호나란 / 마누비 / 레몬개구리,9.94,"['로맨스', '회귀', '인외존재', '로판', '소설원작']","42,914"
킬더킹,마사토끼 / joana,9.69,"['드라마', '두뇌싸움']","71,585"
누나! 나 무서워,디귿 ,9.88,"['스릴러', '4차원', '학원물', '괴담']","73,825"
"이러면 안 돼요, 전하!",안진애 / 우라노스 / 최아리,9.97,"['로맨스', '회귀', '로판', '걸크러시', '소설원작']","66,837"
코인 리벤지,박성현,9.88,['액션'],"41,536"
불쌍해야 하는 남자,윤병,9.71,['드라마'],"9,950"
갓트,서패스 / 아거주누,9.91,['판타지'],"58,929"
THE 런웨이,도미 / 녹두 / Hirachell,9.82,"['로맨스', '오피스로맨스', '사내연애', '소설원작']","130,722"
"엔딩, 바꿔보려합니다",모카빵,9.95,"['로맨스', '2020', '학원로맨스', '역하렘', '빙의', '로판']","76,214"
나의 불편한 상사,탄지 / 남은경 / 이다홍,9.81,"['로맨스', '오피스로맨스', '소설원작']","88,669"
독거미,신진우 / 홍순식,9.71,"['드라마', '범죄', '서스펜스', '복수극', '먼치킨']","9,932"
달의 요람,이정선,4.15,['드라마'],"58,206"
올빼미와 여름 하늘,WmW / 레베카 설리번,9.74,"['로맨스', '해외작품', '힐링', '하이틴', '소설원작']","11,697"
환상연가,반지운,9.97,"['로맨스', '궁중로맨스', '퓨전사극']","92,175"
진짜 진짜 이혼해,서후 / 해인,9.93,"['로맨스', '2021', '계약연애', '친구', '오피스로맨스', '선결혼후연애', '사내연애']","87,966"
"황궁에 핀 꽃은, 미쳤다",한누리 / 희구 / 성소작,9.89,"['로맨스', '퓨전사극', '소설원작']","49,120"
나쁜 마법사의 꿈,이아거,8.96,"['판타지', '2021', '감성드라마']","31,077"
가상&RPG,주다현,9.9,"['판타지', '고인물', '최강자전', '2019', '게임판타지']","58,608"
아빠같은 남자,이수민,9.81,['드라마'],"27,279"
너와 XX,뉸,9.85,"['로맨스', '2030연애', '현실로맨스', '하이퍼리얼리즘']","14,530"
따개비,뜰새 / delete / 레고밟았어,8.8,"['스릴러', '소설원작']","18,541"
천재의 게임방송,다넛 / 지금 / 하이엔드,8.34,"['액션', '게임판타지', '소설원작']","56,590"
황제사냥,KAN,9.94,"['판타지', '2021', '혐관로맨스', '직진남', '이세계', '복수극', '먼치킨', '걸크러시', '구원서사']","59,860"
부캐인생,까를로스 / 징크,9.66,"['드라마', '인플루언서', '서스펜스']","38,329"
35cm,홍가,9.51,['로맨스'],"176,842"
사기 친 공작님을 유혹해버렸다,T.Heimdallr  / 쥐똥새똥,9.94,"['판타지', '로판', '소설원작']","39,364"
배트맨: 웨인 패밀리 어드벤처,CRC Payne / StarBite,9.81,"['일상', '해외작품', '히어로']","13,750"
카루나,강호진,9.82,['판타지'],"17,681"
유월의 소한,윤정민,9.5,"['로맨스', '퓨전사극']","11,371"
보물과 괴물의 도시,이을,9.95,"['판타지', '오컬트', '인외존재', '이능력배틀물', '성장드라마', '다크판타지']","43,132"
권리행사자,샤이탄,9.73,['판타지'],"17,291"
외모지상주의,박태준,9.47,"['드라마', '학원물', '먼치킨']","2,355,396"
광마회귀,JP / 이히 / 유진성,9.97,"['무협', '세계관', '사이다', '회귀', '판무', '소설원작']","366,947"
나 혼자 만렙 뉴비,WAN.Z / 스윙뱃 / 메슬로우,9.91,"['판타지', '고인물', '레드아이스', '사이다', '게임판타지', '헌터물', '먼치킨', '소설원작']","490,467"
역대급 영지 설계사,이현민 / 김현수 / 문백경,9.98,"['판타지', '소년왕도물', '소설원작']","355,013"
재혼 황후,히어리 / 숨풀 / 알파타르트,9.96,"['로맨스', '다정남', '후회물', '궁중로맨스', '혐관로맨스', '직진남', '이세계', '연상연하', '역하렘', '선결혼후연애', '삼각관계', '로판', '걸크러시', '소설원작']","919,918"
어쩌다보니 천생연분,꿀타래 / 담초,9.97,"['로맨스', '로맨스코미디', '2021', '선결혼후연애']","543,775"
데드퀸,김규삼,9.96,"['판타지', '아포칼립스']","242,753"
개를 낳았다,이선,9.94,"['드라마', '무해한', '동물', '감성드라마']","509,519"
1초,시니 / 광운,9.98,"['드라마', '직업드라마']","541,796"
"언니, 이번 생엔 내가 왕비야",Omin / 테미스 / 레팔진프,9.97,"['로맨스', '레드아이스', '사이다', '회귀', '복수극', '로판', '소설원작']","330,787"
죽지 않으려면,파래 / 임진국,9.9,"['액션', '환골탈태', '블루스트링', '사이다', '학원물', '복수극']","325,258"
상남자,하늘소 / 도가도 / 김태궁,9.96,"['드라마', '직업드라마', '머니게임', '소설원작']","234,873"
세기말 풋사과 보습학원,순끼,9.98,"['로맨스', '러블리', '소꿉친구', '학원로맨스', '하이틴', '친구', '성장드라마', '레트로', '까칠남']","487,795"
낙향문사전,"바킹독 / 고기산적, 팀 페가수스 / 언라이팅",9.77,"['무협', '레드아이스', '먼치킨', '소설원작']","184,074"
사신,임재원 / 설봉,9.95,"['무협', '성장물', '세계관', '소년왕도물', '소설원작']","82,672"
천하제일 대사형,YooN / 북미혼,9.95,"['무협', '환골탈태', '소설원작']","65,924"
여우놀이,황혜진,9.97,"['드라마', '아이돌', '폭스남', '2020', '학원로맨스', '하이틴']","317,056"
A.I. 닥터,ZAINO / 쿠큐 / 한산이가,9.97,"['드라마', '직업드라마', '사이다', '의학드라마', '소설원작']","200,272"
약탈 신부,팀 카푸치노 / 강희자매,9.87,"['로맨스', '혐관로맨스', '인외존재', '구원서사', '소설원작']","182,948"
룸9,은작,9.79,['스릴러'],"21,022"
전남편의 미친개를 길들였다,철무장미 / 자개 / 재겸,9.97,"['로맨스', '소설원작']","185,815"
말년용사,후딩 / 신마니,9.93,"['판타지', '2020', '4차원', '밀리터리', '회귀']","138,943"
나혼자 탑에서 농사,임형 / 이하경  / sdcknight,9.93,"['판타지', '지금추천작', '무해한', '햇살캐', '힐링', '차원이동', '동물', '소설원작']","65,088"
서울역 드루이드,문성호 / 활성곰 / 진설우,9.77,"['판타지', '헌터물', '먼치킨', '소설원작']","177,456"
선을 넘은 연애,서녜,9.97,"['로맨스', '햇살캐', '다정남', '소꿉친구', '2021', '하이틴', '학원로맨스', '성장드라마']","263,497"
연애의 기록,베어리,9.48,['드라마'],"20,785"
히어로 킬러,꿀벌 / 벌꿀,9.96,"['액션', '히어로']","234,349"
커플브레이커,기맹기 / 태건,9.92,"['로맨스', '2030연애', '계약연애', '현실로맨스', '걸크러시']","178,983"
그렇고 그런 바람에,아니영,9.97,"['로맨스', '햇살캐', '러블리', '로맨스코미디', '캠퍼스로맨스', '인플루언서', '걸크러시']","274,045"
플레이어,박종석 / 오현준,9.92,"['액션', '게임판타지', '이능력배틀물']","206,421"
그 기사가 레이디로 사는 법,아인 / lnk. / 성혜림,9.96,"['판타지', '혐관로맨스', '삼각관계', '빙의', '로판', '소설원작']","224,809"
폭군님은 착하게 살고 싶어,람글 / 카콘,9.97,['로맨스'],"163,375"
브레이커 : 이터널 포스,전극진 / 박진환,9.86,"['액션', '환골탈태', '세계관', '사이다', '소년왕도물', '느와르']","96,006"
희란국연가,MIDNIGHT STUDIO / 김수지,9.97,"['로맨스', '후회물', '혐관로맨스', '동양풍판타지', '이세계', '인외존재', '삼각관계', '구원서사', '소설원작']","211,065"
너의 미소가 함정,앵고,9.98,"['로맨스', '하이틴']","218,710"
푸쉬오프,허5파6,9.97,"['드라마', '힐링', '하이퍼리얼리즘', '성장드라마', '사이비종교', '감성드라마']","99,483"
소름일기,석재윤,9.84,"['스릴러', '오컬트', '괴담']","45,568"
대위님! 이번 전쟁터는 이곳인가요?,김망고 / 비터버 / 리묘,9.94,"['로맨스', '차원이동', '밀리터리', '빙의', '로판', '걸크러시', '소설원작']","68,650"
언다잉,임목원,9.91,['스릴러'],"47,224"
여자를 사귀고 싶다,노갓량 / 영오,9.48,"['개그', '2030연애', '블루스트링', '청춘로맨스', '성장드라마', '공감성수치']","59,524"
온리호프,초승,9.97,"['로맨스', '타임슬립', '고자극로맨스', '회귀']","192,683"
쌈빡,38,9.76,"['액션', '학원물']","108,663"
바스티안,아빈 / 솔체,9.96,"['로맨스', '2030연애', '혐관로맨스', '선결혼후연애', '로판', '소설원작']","102,288"
평화식당,턍 / 서우서우,9.86,"['판타지', '먼치킨']","27,877"
킬 더 드래곤,현가 / 미스 지수 / 백수귀족,9.94,"['액션', '레드아이스', '헌터물', '소설원작']","67,563"
후덜덜덜 남극전자,김민혁,9.87,['개그'],"48,116"
절대복종,혼,8.91,"['액션', '게임판타지', '학원물']","51,188"
성스러운 그대 이르시길,"26, 유다, 앵뚜 / 로주 / 미나토",9.96,"['로맨스', '소설원작']","77,565"
신컨의 원 코인 클리어,스튜디오 호호이 / Akheres ,9.82,"['판타지', '소설원작']","45,722"
여름여자 하보이,석영,9.97,"['로맨스', '성별반전', '2020']","86,206"
지옥 키우기,양세하,9.81,"['스릴러', '2021', '서스펜스', '다크판타지']","42,539"
몽홀,장태산,9.9,"['무협', '역사물']","94,787"
미친 후작을 길들이고 말았다,골지 / 이레 / 로판맛집,9.95,"['로맨스', '소설원작']","143,263"
네버엔딩달링,울리,9.95,"['스릴러', 'sf']","89,373"
악마라고 불러다오,자양 / 써나 / 안테,9.96,"['로맨스', '소설원작']","130,034"
멜빈이 그들에게 남긴 것,삼칠13 / 팀 해피게리 / 류희온,9.97,"['로맨스', '햇살캐', '레드아이스', '힐링', '로판', '소설원작']","90,527"
메소드 연기법,김이연,9.95,"['스릴러', '계략여주']","34,424"
오!너의 리스크,바리,9.96,"['드라마', '2020']","93,071"
지니오패스,공현곤,9.92,"['스릴러', '서스펜스', '복수극', '두뇌싸움']","30,290"
스토커의 하루,bunny,9.63,"['스릴러', '서스펜스', '괴담']","48,367"
재앙의 날,환상특급 / 이승찬,9.85,['스릴러'],"28,580"
뜨거운 홍차,"에리카, 느리 / ZZING / 김빵",9.85,"['로맨스', '학원로맨스', '소설원작']","61,738"
인피니티,2오,9.78,"['스포츠', '스포츠성장']","55,560"
백년게임,하람 / 지야,9.85,['판타지'],"76,231"
너의 키스씬,조니조,9.92,"['로맨스', '비밀연애', '짝사랑', '2030연애', '로맨스코미디', '현실로맨스', '직진남', '연예계', '연상연하']","62,818"
우리 무슨 사이야?,고농,9.84,['로맨스'],"76,352"
합법해적 파르페,뼈피살,9.96,"['판타지', '최강자전', '2017']","50,902"
미드우트,원김,9.93,['판타지'],"33,838"
별빛 커튼콜,아르몽,9.96,"['로맨스', '힐링', '청춘로맨스', '인플루언서', '성장드라마']","46,161"
비밀친구,이밤애 / 사바싸,9.83,"['스릴러', '2021', '서스펜스', '복수극', '두뇌싸움']","29,231"
연기는 처음인데요?!,홍로베 / 앨렴,9.93,"['로맨스', '하이틴', '학원로맨스', '청춘로맨스', '연예계', '성장드라마']","31,014"
"푸른 밤, 황홀의 윤무",호찌 / 해독 / 유안나,9.94,"['로맨스', '고자극로맨스', '혐관로맨스', '뱀파이어', '까칠남', '소설원작']","55,506"
하나는 적고 둘은 너무 많아,젤리피쉬 / 손모모,9.72,"['로맨스', '고자극로맨스', '현실로맨스', '재회']","22,300"
"행운을 빌어요, 용사님!",송현주,9.9,"['로맨스', '회귀', '사내연애']","26,993"
여름의 너에게,라라뮤,9.91,"['로맨스', '힐링', '학원로맨스', '삼각관계']","76,644"
천상의 주인,권러프 / MOOHAK,9.73,"['판타지', '소년왕도물']","24,674"
신의 최애캐,김찹쌀,9.71,"['드라마', '2022', '타임슬립']","15,988"
애증화음,전구,9.95,"['드라마', '음악', '서바이벌', '혐관로맨스', '학원물', '성장드라마', '걸크러시']","21,140"
히트포인트,민형 / 여강현,9.63,"['판타지', '성장물', '사이다', '이능력배틀물', '소년왕도물']","55,387"
크림슨 하트,HYBE,9.65,"['판타지', '세계관', '이세계', '걸크러시']","16,031"
기억해줘,BD / 왈치,9.92,"['로맨스', '2021', '현실로맨스', '재회', '연상연하']","27,580"
로또 황녀님,"무무경 / 도힌, 보리멸",9.97,"['로맨스', '러블리', '육아물', '로판']","76,993"
너에게 입덕중,카레 / 새우,9.9,"['로맨스', '학원로맨스']","17,089"
세라는 망돌,햇살,9.28,['로맨스'],"18,878"
서울시 천사주의,안민,9.91,"['판타지', '성장드라마', '먼치킨']","20,470"
호랑이형님,이상규,9.92,"['판타지', '세계관', '동양풍판타지']","866,165"
99강화나무몽둥이,홍실 / 지페리,9.81,"['판타지', '고인물', '사이다', '게임판타지']","497,552"
취사병 전설이 되다,제이로빈 / 이진수,9.87,"['판타지', '직업드라마', '밀리터리', '게임판타지', '음식', '소설원작']","420,270"
물위의 우리,뱁새 / 왈패,9.98,"['드라마', '최강자전', '2020', '아포칼립스']","350,016"
프리드로우,전선욱,9.79,"['드라마', '힘숨찐', '학원물', '성장드라마']","1,641,163"
마도전생기,포스스튜디오 / codezero,9.83,"['무협', '지금추천작', '힘숨찐', '판무', '소설원작']","90,964"
망나니 소교주로 환생했다,재무 / 전마두 / 대은호,9.85,"['무협', '레드아이스', '오컬트', '회귀', '소설원작']","212,423"
은탄,김규삼,9.96,"['판타지', '오컬트', '동양풍판타지', '다크히어로', '먼치킨']","127,067"
귀환했는데 입대 전날이다,해일 / 오코믹 / 황금비둘기,9.9,"['판타지', '지금추천작', '소설원작']","122,579"
작전명 순정,꼬까리 / 들덤,9.96,"['로맨스', '2021', '하이틴']","633,196"
킬러경찰,이제환 / 이윤균,9.89,"['액션', '지금추천작']","113,313"
스터디그룹,신형욱 / 유승연,9.96,"['액션', '블루스트링', '힘숨찐', '학원물']","623,336"
세레나,정이나,9.95,"['로맨스', '고자극로맨스', '혐관로맨스', '선결혼후연애']","352,360"
나이트런,김성민,9.91,"['판타지', 'sf', '다크판타지']","243,048"
디펜스 게임의 폭군이 되었다,하정 / 굥 / 류은가람,9.96,"['판타지', '소설원작']","127,226"
나를 바꿔줘,이지호 / 호띠,9.88,['드라마'],"250,967"
흑화한 노예남을 길들였다,LICO / 보랏빛마을,9.95,"['로맨스', '요즘핫한추천작', '소설원작']","126,641"
야매 힐러로 사는 법,14획 / 나옌 / 새송이덮밥,9.93,"['판타지', '요즘핫한추천작', '지금추천작', '소설원작']","63,448"
나랑X할래?,진자 / 정생,9.91,['로맨스'],"159,948"
첫사랑은 헤이트,망두,9.96,"['로맨스', '캠퍼스로맨스']","99,718"
민간인 통제구역 - 일급기밀,OSIK,9.94,"['스릴러', '프리퀄', '밀리터리', '하이퍼리얼리즘', '서스펜스']","38,254"
대충 캠퍼스로맨스임,공철진,9.97,"['로맨스', '로맨스코미디', '캠퍼스로맨스', '삼각관계']","285,704"
봐선 안되는 것,수리부,9.85,"['스릴러', '괴담']","64,022"
좀비X슬래셔,나락 / 홍준기,9.68,"['액션', '아포칼립스', '히어로', '좀비']","39,668"
예명여고,육공,9.94,"['스릴러', '오컬트', '괴담']","46,325"
플레이어가 과거를 숨김,개차반 / 비누끼 / 베데스,9.83,"['판타지', '소설원작']","27,609"
탑코너,윤성 / 라군,9.64,"['스포츠', '축구', '스포츠성장']","145,748"
간첩 18세,팀꿀빨 / 김주인,9.71,"['액션', '학원물']","88,121"
홍시는 날 좋아해!,강하다 / 웃는해,9.97,"['로맨스', '햇살캐', '까칠남']","343,660"
존잘주의,령,9.44,"['로맨스', '학원물', '역하렘']","251,637"
묘약마녀,자유,9.97,"['판타지', '성장드라마']","67,371"
동그란 그녀와 소심한 그 남자,하야마 이즈미 / 오카무라 야치요,9.2,"['로맨스', '햇살캐', '해외작품', '로맨스코미디', '힐링']","11,557"
남편을 만렙으로 키우려 합니다,유기농 / 컬린 / 누오바,9.97,"['로맨스', '회귀', '선결혼후연애', '소설원작']","193,899"
폭군 남편과 이혼하겠습니다,조사라 / 오윤하,9.89,"['로맨스', '차원이동', '사이다', '빙의', '걸크러시', '소설원작']","102,297"
왕세자 입학도,무번,9.98,"['드라마', '퓨전사극', '성장드라마']","130,785"
부패의 사제,보리 / YU / 사다듬,9.73,"['판타지', '소설원작']","13,946"
"저무는 해, 시린 눈",MURO,9.97,['드라마'],"139,068"
엑스애쉬,김세훈 / 이광수,9.86,"['판타지', '게임판타지', '소년왕도물']","97,380"
묘령의 황자,아흐레달,9.98,"['드라마', '성별반전', '궁중로맨스', '동양풍판타지', '걸크러시']","137,867"
더 해머,스튜디오M / 멘수 / Painkiller,9.83,"['판타지', '소설원작']","35,985"
대박사건,"광진, 두엽 / 그나",9.78,"['스릴러', '범죄', '서스펜스', '복수극', '두뇌싸움']","15,299"
이종 격투기,꼬마비,9.9,['드라마'],"20,957"
전생연분,재아 / HAE,9.97,"['로맨스', '레드스트링']","213,514"
방송은 방송으로 봐,박은혁,7.73,['드라마'],"28,797"
완벽한 부부는 없다,롱별 / 초이 / 이다홍,9.86,"['로맨스', '소설원작']","103,054"
멸망으로 시작하는! 근미래 생존법,김부농,9.76,"['판타지', '세계관', '2021', '두뇌싸움']","10,527"
러브 어페어,건태 / 팀 네모바퀴 / 이유진,9.51,"['로맨스', '후회물', '비밀연애', '고자극로맨스', '2030연애', '소설원작']","29,864"
내게 필요한 NO맨스,마그네슘,9.97,"['로맨스', '2019', '연예계', '역하렘']","221,610"
또다시 열일곱,한다,9.84,"['로맨스', '타임슬립', '2021', '회귀', '학원로맨스', '전남친']","22,943"
최강부캐,직씨,9.57,"['액션', '게임판타지', '먼치킨']","92,309"
노인의 꿈,백원달,9.97,"['드라마', '무해한', '힐링', '성장드라마', '감성드라마']","31,791"
더 캐슬 - 귀안의 신부,혜용 / 피칸 / 진소예,9.94,"['로맨스', '직진남', '선결혼후연애', '로판', '소설원작']","52,925"
달과 인어,원산지,9.97,"['드라마', '러블리', '힐링', '인외존재', '성장드라마', '감성드라마']","42,277"
당신이 나를 믿으신다면,김그래프,9.93,"['드라마', '2021', '사이비종교']","23,415"
중매쟁이 아가 황녀님,박카린 / 지미신,9.94,"['로맨스', '육아물', '회귀', '빙의', '소설원작']","85,962"
너나 나나,김연우,9.94,"['드라마', '러블리', '학원물']","26,664"
사서고생!,몽실,9.95,['드라마'],"52,122"
청춘일지,쏘림,9.91,"['로맨스', '2030연애', '로맨스코미디', '캠퍼스로맨스', '청춘로맨스']","96,144"
용두사망 소설 속의 악녀가 되었다,하견 / 너구리 / 윤림,9.95,"['로맨스', '빙의', '로판', '소설원작']","62,725"
왕년엔 용사님,고샤 / 솔렘,9.95,"['판타지', '최강자전', '2019']","76,064"
소년 검사,혁씨,9.76,"['판타지', '게임판타지', '성장드라마']","50,954"
시선 끝 브로콜리,모차,9.97,['드라마'],"31,641"
애구애구,가령,9.97,"['드라마', '무해한', '힐링', '동물', '감성드라마']","31,293"
궤도의 아이들,나윤희 / 구김,9.94,"['드라마', '학원로맨스', '청춘로맨스', '성장드라마', '감성드라마']","26,757"
밤을 깨우는 마법,외딴,9.97,"['판타지', '2020']","49,462"
아가사,이다인,9.94,"['드라마', '궁중로맨스', '혐관로맨스', '걸크러시']","43,823"
아침을 지나 밤으로,손지은,9.96,"['판타지', '최강자전', '2019']","74,907"
이계진입 리로디드,차우민 / 쵸쵸 / 임경배,9.92,"['판타지', '소설원작']","66,832"
겨울특강,곤세,9.83,['판타지'],"14,611"
보고 있지?,송범규,8.45,"['드라마', '2020', '인플루언서', '서스펜스']","18,939"
아이돌만 하고 싶었는데,고구렁 / 와플,9.96,"['로맨스', '아이돌', '아이돌연애', '로맨스코미디', '2021', '좀비', '연예계']","36,461"
먹지마세요,노도 / 비버,9.93,"['판타지', '오컬트', '동양풍판타지', '인외존재']","39,647"
싸움독학,박태준 만화회사 / 김정현,9.72,"['액션', '학원물', '인플루언서', '소년왕도물']","1,072,266"
약한영웅,서패스 / 김진석,9.76,"['액션', '드라마', '힘숨찐', '학원물']","544,874"
입학용병,YC / 락현,9.89,"['액션', '밀리터리', '학원물', '먼치킨']","598,689"
투신전생기,청담,9.94,"['액션', '회귀', '이능력배틀물', '복수극', '먼치킨']","404,497"
사형소년,"김숭늉, 박태준 만화회사 / 광산",9.68,"['스릴러', '사이다']","327,668"
가비지타임,2사장,9.98,"['스포츠', '최강자전', '2017', '농구', '스포츠성장']","325,561"
일타강사 백사부,팀 더 지크 / 오리보리 / 간짜장,9.96,"['무협', '소설원작']","213,561"
수희0(tngmlek0),생일기분,9.91,"['드라마', '하이퍼리얼리즘', '인플루언서', '머니게임']","243,985"
자매전쟁,기맹기,9.95,"['드라마', '계략여주', '학원로맨스', '복수극']","308,374"
나 혼자 특성빨로 무한 성장,샤이아탄 / 2사랑 / 선운(鮮雲),9.15,"['액션', '레드아이스', '헌터물', '먼치킨', '소설원작']","114,368"
천화서고 대공자,128 / MIDNIGHT STUDIO / 김현영,9.92,"['무협', '지금추천작', '소설원작']","70,150"
판사 이한영,문성호 / 전돌돌 / 이해날,9.94,"['드라마', '법정드라마', '직업드라마', '회귀', '소설원작']","149,890"
소녀재판,루즌아 / 보로콤,9.89,"['드라마', '2019', '공감성수치']","376,535"
"고수, 후궁으로 깨어나다",LICO / 코양희,9.96,"['로맨스', '요즘핫한추천작', '로맨스코미디', '궁중로맨스', '동양풍판타지', '걸크러시', '소설원작']","59,968"
분신으로 자동사냥,차씨 / 오팔 / 몽식夢食,9.71,"['판타지', '소설원작']","107,205"
살아남은 로맨스,이연,9.98,"['판타지', '서바이벌', '아포칼립스', '학원로맨스', '빙의', '구원서사']","406,130"
사랑받는 시집살이,견이 / 태소정,9.87,"['로맨스', '요즘핫한추천작', '러블리', '힐링', '로판', '소설원작']","72,428"
허리케인 공주님,랑또,9.97,"['개그', '요즘핫한추천작', '학원물', '이세계', '성장드라마']","78,048"
폰투스 : 극야2,운 / 한큰빛,9.93,"['스릴러', '좀비', '먼치킨', '감염']","75,101"
무진,사과 / 브라보 장,9.86,"['액션', '범죄', '복수극', '느와르']","46,514"
합격시켜주세용,이온,9.98,['판타지'],"199,407"
고백 취소도 되나?,신매,9.83,"['로맨스', '폭스남', '하이틴', '청춘로맨스']","383,439"
무서운게 딱좋아!,이동규,9.9,"['스릴러', '레트로', '괴담']","148,779"
어느날 갑자기 서울은,박창근,9.86,"['스릴러', '아포칼립스', '좀비', '감염']","222,520"
칼끝에 입술,핀쿠 / 뫄과 / 윤슬,9.96,"['로맨스', '계략여주', '계약연애', '직진남', '선결혼후연애', '로판', '걸크러시', '소설원작']","180,371"
청춘계시록,한서,9.97,"['로맨스', '로맨스코미디', '2021', '현실로맨스', '하이틴', '학원물', '학원로맨스', '친구', '사이비종교']","233,006"
오로지 너를 이기고 싶어,아마도지 / 사삭,9.94,"['로맨스', '로맨스코미디', '하이틴', '학원로맨스']","459,419"
장풍전,신영우,9.94,['액션'],"40,703"
후궁 스캔들,기트로우 / 정현,9.98,"['로맨스', '동양풍판타지', '소설원작']","128,047"
랑데뷰,제로,9.92,"['드라마', '감성드라마']","135,476"
경자 전성시대,김호드,9.89,"['개그', '4차원']","54,762"
밤마다 남편이 바뀐다,구슬 / 여슬기 / 한윤설,9.97,"['로맨스', '2030연애', '로맨스코미디', '선결혼후연애', '로판', '소설원작']","188,293"
약빨이 신선함,한집 / 벤 / 아로,9.89,"['판타지', '소설원작']","58,698"
노빠꾸 최하영,우엉이,9.77,"['액션', '4차원', '힘숨찐', '학원물']","57,663"
내게 종말은 게임이다,HOOPA / 최우진,9.91,"['판타지', '아포칼립스', '게임판타지', '인외존재', '인플루언서', '먼치킨', '소설원작']","45,729"
죽음을 희망합니다,인멸윤금 / 요지 / 유예랑,9.92,"['로맨스', '힐링', '선결혼후연애', '구원서사', '소설원작']","30,605"
주인공의 주식을 팝니다,50 / 가얌 / 목감기,9.94,"['로맨스', '로판', '소설원작']","51,167"
아포크리파,은성 / 두만식,9.95,"['스릴러', '오컬트']","32,169"
고양이 타타,로로,9.97,"['드라마', '무해한', '힐링', '동물']","114,616"
몸이 바뀌는 사정,푸릭 / 달꽃 / 윤달,9.97,"['로맨스', '집착물', '성별반전', '직진남', '삼각관계', '빙의', '로판', '구원서사', '걸크러시', '소설원작']","131,373"
천치전능,김칸비 / 송래현,9.92,['드라마'],"59,076"
펀치드렁커드,고태호,9.95,['드라마'],"22,510"
첫날밤만 세 번째,나라나라 / 갓녀,9.96,"['로맨스', '고자극로맨스', '2030연애', '재회', '오피스로맨스', '소설원작']","68,383"
위험한 남편을 길들이는 법,두지 / 윤손,9.93,"['로맨스', '선결혼후연애', '소설원작']","124,300"
평행도시,고다,9.95,['판타지'],"111,212"
돌&아이,송채윤 / 엔리,9.86,"['드라마', '레드스트링', '연예계']","63,286"
사장님이 미쳤어요,밤희 / 꾼 / 노승아,9.58,"['로맨스', '2030연애', '오피스로맨스', '사내연애', '소설원작']","14,575"
마왕의 고백,탑승,9.96,"['판타지', '2021', '인외존재', '성장드라마']","121,908"
나의 작은 서점,한민기,9.96,"['로맨스', '힐링', '현실로맨스', '청춘로맨스', '연예계']","87,253"
최고의 뿔소라,김인정,9.97,"['로맨스', '무해한', '다정남', '2030연애', '로맨스코미디', '현실로맨스', '연예계', '성장드라마', '구원서사', '감성드라마']","37,822"
